teamCode,Teamfull,8ft,16ft,mid,three,win,year,team
HOU,Houston Rockets,42.45,6.3,5.06,45.96,67%,2016,Rockets
CLE,Cleveland Cavaliers,36.98,11.69,11.47,39.7,62%,2016,Cavaliers
BOS,Boston Celtics,40.14,9.61,11.16,38.75,65%,2016,Celtics
BRK,Brooklyn Nets,44.65,11.31,6.97,36.74,24%,2016,Nets
DAL,Dallas Mavericks,30.08,14.35,18.93,36.35,40%,2016,Mavericks
GSW,Golden State Warriors,37.96,13.26,12.93,35.39,82%,2016,Warriors
PHI,Philadelphia 76ers,43.24,11.97,9.97,34.72,34%,2016,76ers
CHA,Charlotte Hornets,37.91,13.44,15.17,33.23,44%,2016,Hornets
DEN,Denver Nuggets,46.11,10.26,10.81,32.53,49%,2016,Nuggets
UTA,Utah Jazz,40.95,14.53,11.81,32.48,62%,2016,Jazz
LAC,Los Angeles Clippers,37.69,10.01,19.71,32.31,62%,2016,Clippers
POR,Portland Trailblazers,40.67,12.38,14.79,31.9,50%,2016,Trail Blazers
MIA,Miami Heat,41.49,14.03,13.09,31.15,50%,2016,Heat
MEM,Memphis Grizzlies,41.94,12.02,14.43,31.1,52%,2016,Grizzlies
NOP,New Orleans Pelicans,41.36,12.93,14.96,30.57,41%,2016,Pelicans
ATL,Atlanta Hawks,41.89,12.28,15.05,30.56,52%,2016,Hawks
ORL,Orlando Magic,38.65,15.65,15.74,29.59,35%,2016,Magic
OKC,Oklahoma City Thunder,46.33,13.26,10.85,29.3,57%,2016,Thunder
LAL,Los Angeles Lakers,44.8,14.24,11.78,28.92,32%,2016,Lakers
SAC,Sacramento Kings,41.86,13.56,15.54,28.73,39%,2016,Kings
MIL,Milwaukee Bucks,49.42,10.94,10.78,28.67,51%,2016,Bucks
TOR,Toronto Raptors,40.37,15.55,15.26,28.63,62%,2016,Raptors
WSH,Washington Wizards,40.15,14.57,16.9,28.21,60%,2016,Wizards
SAS,San Antonio Spurs,37.02,15.93,19.01,27.85,74%,2016,Spurs
NYK,New York Knicks,38.93,16.05,17.2,27.5,38%,2016,Knicks
IND,Indiana Pacers,39.29,14.14,19.49,26.77,51%,2016,Pacers
DET,Detroit Pistons,39.32,18.72,15.71,25.83,45%,2016,Pistons
CHI,Chicago Bulls,41.01,15.48,17.89,25.46,50%,2016,Bulls
PHO,Phoenix Suns,41.89,16.07,16.54,25.2,29%,2016,Suns
MIN,Minnesota Timberwolves,43.55,12.96,18.6,24.7,38%,2016,Timberwolves
